FileName,real_PGV_UD_1,real_PGV_UD_2,real_PGV_UD_3,real_PGV_UD_4,real_PGV_UD_5,real_PGV_UD_6,real_PGV_UD_7,real_PGV_UD_8,real_PGV_UD_9,real_PGV_UD_10,real_PGV_UD_11,real_PGV_UD_12,real_PGV_UD_13,real_PGV_UD_14,real_PGV_UD_15,real_PGV_UD_16,real_PGV_UD_17,real_PGV_UD_18,real_PGV_UD_19,real_PGV_UD_20
AIC0082003211358,0.0613874681861475,0.0613874681861475,0.0613874681861475,0.0613874681861475,0.0613874681861475,0.0613874681861475,0.0613874681861475,0.0613874681861475,0.125363571690385,0.125363571690385,0.125363571690385,0.125363571690385,0.125363571690385,0.125363571690385,0.125363571690385,0.125363571690385,0.125363571690385,0.125363571690385,0.125363571690385,0.125363571690385
AIC0082004231344,0.015031424881042,0.0252539691586008,0.0252539691586008,0.0252539691586008,0.0252539691586008,0.0252539691586008,0.0252539691586008,0.0252539691586008,0.0252539691586008,0.0252539691586008,0.0252539691586008,0.0252539691586008,0.0252539691586008,0.0252539691586008,0.0252539691586008,0.0409921661512592,0.0409921661512592,0.0520943320586208,0.0545229334622891,0.0545229334622891
AIC0082009271313,0.129971826720696,0.129971826720696,0.264240211728378,0.264240211728378,0.264240211728378,0.264240211728378,0.482285053322506,0.573778579724185,0.573778579724185,0.573778579724185,0.573778579724185,0.573778579724185,0.573778579724185,0.573778579724185,0.573778579724185,0.573778579724185,0.573778579724185,0.573778579724185,0.573778579724185,0.573778579724185
AIC0082010190328,0.0165257490550531,0.0165257490550531,0.0165257490550531,0.0165257490550531,0.0165257490550531,0.0165257490550531,0.0165257490550531,0.0165257490550531,0.0165257490550531,0.0165257490550531,0.0168581797576845,0.0410581336015776,0.0410581336015776,0.0410581336015776,0.0410581336015776,0.0410581336015776,0.0410581336015776,0.0410581336015776,0.0410581336015776,0.0410581336015776
AIC0082102180358,0.0232461794151809,0.0232461794151809,0.0313091729311757,0.0313091729311757,0.0313091729311757,0.0473675535356159,0.0728185793046547,0.0728185793046547,0.0728185793046547,0.0728185793046547,0.0728185793046547,0.0728185793046547,0.0728185793046547,0.0728185793046547,0.0728185793046547,0.0728185793046547,0.0728185793046547,0.0728185793046547,0.0728185793046547,0.0728185793046547
AIC0082104050622,0.0337583347395302,0.0383523724814095,0.0383523724814095,0.0383523724814095,0.0518721590150661,0.0733253681122423,0.0733253681122423,0.192676679254944,0.192676679254944,0.192676679254944,0.192676679254944,0.192676679254944,0.192676679254944,0.192676679254944,0.192676679254944,0.192676679254944,0.192676679254944,0.192676679254944,0.192676679254944,0.192676679254944
AIC0091903090108,0.112365343053552,0.112365343053552,0.112365343053552,0.112365343053552,0.112365343053552,0.112365343053552,0.112365343053552,0.152878309476482,0.322562953342618,0.322562953342618,0.322562953342618,0.322562953342618,0.322562953342618,0.322562953342618,0.322562953342618,0.322562953342618,0.322562953342618,0.322562953342618,0.322562953342618,0.322562953342618
AIC0092010190328,0.0142808105203468,0.0227305981782758,0.0227305981782758,0.0227305981782758,0.0227305981782758,0.0227305981782758,0.0311825384132146,0.163297556653868,0.163297556653868,0.163297556653868,0.163297556653868,0.163297556653868,0.163297556653868,0.163297556653868,0.163297556653868,0.163297556653868,0.163297556653868,0.163297556653868,0.163297556653868,0.163297556653868
AIC0092102180358,0.084896308147137,0.084896308147137,0.084896308147137,0.084896308147137,0.140612591759914,0.203038025116458,0.203038025116458,0.203038025116458,0.203038025116458,0.203038025116458,0.203038025116458,0.203038025116458,0.203038025116458,0.203038025116458,0.203038025116458,0.203038025116458,0.203038025116458,0.203038025116458,0.203038025116458,0.203038025116458
AIC0092104050622,0.0214927728876406,0.0218465407673449,0.0218465407673449,0.0284021525215125,0.0284021525215125,0.0284021525215125,0.0284021525215125,0.0284021525215125,0.0505551021615522,0.0505551021615522,0.073633173921782,0.073633173921782,0.073633173921782,0.073633173921782,0.073633173921782,0.073633173921782,0.073633173921782,0.073633173921782,0.073633173921782,0.073633173921782
