FileName,real_iv2_total_1,real_iv2_total_2,real_iv2_total_3,real_iv2_total_4,real_iv2_total_5,real_iv2_total_6,real_iv2_total_7,real_iv2_total_8,real_iv2_total_9,real_iv2_total_10,real_iv2_total_11,real_iv2_total_12,real_iv2_total_13,real_iv2_total_14,real_iv2_total_15,real_iv2_total_16,real_iv2_total_17,real_iv2_total_18,real_iv2_total_19,real_iv2_total_20
KGS0272005260438,0.00479635637880345,0.0201881758172862,0.651139188315822,0.735773178900324,0.769824772327993,0.787203763964526,0.795748577955659,0.800012761595462,0.803718210519469,0.805586168858942,0.807449151778512,0.808681091019021,0.809793451670098,0.810701874908893,0.811658844488636,0.812336270156682,0.812893549034462,0.813216108642644,0.813493731691515,0.813779946544608
KGS0272102282330,0.00940082305191704,0.0144230317890624,0.0186978857889853,0.0223167429707064,0.0259448551290155,0.0297759997147681,0.0349713609680082,0.0585458482206564,0.0926117712945733,0.139829731310967,0.161765490142534,0.170498401530475,0.175186971216774,0.178564305535816,0.181629183432596,0.18451947340283,0.186039731416838,0.186998538844198,0.188124202500563,0.189730344889079
KGS0272103210103,0.000398513024106899,0.000992821887851141,0.00170760785646364,0.00259161823389787,0.0088317128739436,0.0655022395709254,0.0753788412016035,0.0863669581591415,0.0943851669446466,0.0986000753396164,0.101009834309752,0.102000537052874,0.103186662355423,0.104288187843942,0.10499017172007,0.105810946489511,0.106393316245608,0.10666824914893,0.106985366953711,0.107180251314038
KGS0281901082139,8.31528134953202e-05,0.00107083028247483,0.00326995225360468,0.00547199929005894,0.00774472145709633,0.0112516367042638,0.0157735795299538,0.0186139981103669,0.0258115827462123,0.0649530273207408,0.111599509197731,0.139704156301313,0.182341282998985,0.239087576974614,0.3431377653476,0.393564247136375,0.438461561519264,0.504585228873444,0.552791441188629,0.613575110651361
KGS0281903300555,0.000698205314697212,0.00122367976715973,0.00167033910386653,0.00240890139029883,0.00273966417982346,0.003190456058534,0.00356758139822359,0.00501236019879766,0.0315579103658929,0.0533916941506823,0.0612046834511583,0.0723881141706865,0.0774398572262972,0.0811502709280646,0.0832209223084085,0.0857643404838075,0.0867842697126153,0.0873928164791029,0.0882183929096081,0.0887826763808752
KGS0281905151424,8.72403929511883e-05,0.000862786574202877,0.00172078706937676,0.00407081391573717,0.00557185650303374,0.00682157246071487,0.00852812156385355,0.00941060698578729,0.0103966152080403,0.0115490762938551,0.0162730807539506,0.0322165499352643,0.0538618976111559,0.0859114622944771,0.112300069884696,0.150063567781271,0.169737263603155,0.177531096483256,0.186243370333058,0.191773879300281
KGS0282003031831,0.00049882437950725,0.000650765304704345,0.00074880777287819,0.000846895137148305,0.00091602456631101,0.000980201819295069,0.00112271794420518,0.00162982628931089,0.00203230723479094,0.00249697077573267,0.00304974180653806,0.00327566374566823,0.0034949049820595,0.00364885550493165,0.00373186867216496,0.00378210621848969,0.00382491030417411,0.00386967761479898,0.00389143986051996,0.00391393734295928
KGS0282005260438,0.000840018541278045,0.00124117370037645,0.00145202834529938,0.00162710191667252,0.00789097384881172,0.0125990262436203,0.0138522677520413,0.0143420745449511,0.0146776272889798,0.0148607358905456,0.015149421761079,0.0153028931679691,0.0154590847266368,0.0155330254829571,0.0156183423239419,0.015682559019894,0.0157218422013448,0.015745389597239,0.0157701620844856,0.0157844668788107
KGS0282010032126,0.00100675925096168,0.00168124226425151,0.00209948104133644,0.00280729526130783,0.00350609910774827,0.00395249425764035,0.00453929913584767,0.00501598445471795,0.0137288140098821,0.0230333193405905,0.0315526392597651,0.0448814719206087,0.0507644671861478,0.0542146503095252,0.0568157494137075,0.0588640934916395,0.0615091604719568,0.0629865884664608,0.0644954165594049,0.0653305615441609
KGS0282012250538,0.000515633821727286,0.000700252625856598,0.000793720892966515,0.000941543386992458,0.00102802823389126,0.00108021569942693,0.00114253425851556,0.00118909386258733,0.00123352026154918,0.00131632307012473,0.0013961357134952,0.00187610328804366,0.00516911440747482,0.00552766626887092,0.00600198517333562,0.00650263229965869,0.00670546836357503,0.00688842295675268,0.00704988186441023,0.00714627697752139
KGS0282102282330,0.000478385546388292,0.00097233946597805,0.00144774535849372,0.00182393262074792,0.00215902589814522,0.00244050021950673,0.00278470247126333,0.00312821749162655,0.0035070200035016,0.00385662130822601,0.00693111493263019,0.0103093154299454,0.0125511527779291,0.0138723856036379,0.0152159261480462,0.0164270674523745,0.0170946139421304,0.0175018431590924,0.0179503032210815,0.018106623216261
KGS0282103210103,0.000445665807370837,0.000583084440633496,0.000814496423853623,0.00107842836561483,0.00123840101351778,0.00135792668251863,0.0021364540363391,0.00694870310981185,0.00896855650398336,0.0110934450592719,0.0133124152574851,0.0141367495934273,0.0148370263361769,0.015259211903186,0.0154790033590576,0.0156647499757039,0.015761632647422,0.0158363996563662,0.0159176735448894,0.0159549792210457
KGS0291901082139,9.16056395751667e-05,0.0011349277267462,0.0035068308569311,0.0122304995607411,0.01950004537145,0.0241154104251109,0.0291560954962657,0.0331246906115042,0.0377867337547555,0.044712474408963,0.0535225027492878,0.069046945985057,0.0839278901199468,0.159285250788669,0.217977242276273,0.28493114105553,0.343769685990044,0.379336876041248,0.430853558637271,0.459638187309434
KGS0291903300555,0.000448391870833959,0.000913377350409992,0.00135230738044757,0.00182884545534949,0.00206556009266003,0.00228412874092519,0.0024576663619052,0.00271066870253239,0.00303779144883444,0.0173677478225547,0.0231760931103491,0.0291569281682442,0.0321004452552331,0.0363964232143244,0.0388326074229162,0.0408038703645036,0.0427173485157363,0.0440356243905351,0.0451043783389162,0.0460210456401099
KGS0291905151424,0.000260897242214287,0.0014995868913811,0.00342750214048486,0.00803936179108928,0.00925786504359011,0.0105648705654638,0.0133728819807945,0.0146406133773874,0.0174743514941247,0.0322765258387477,0.0504114416265568,0.0766221970869061,0.0995108095232003,0.111999757641273,0.130659629001039,0.138686153173794,0.150255645620726,0.157383344804944,0.165907018069026,0.171027662111503
