FileName,instrumental_intensity
CHB0161906240911,2.69
CHB0161907250714,2.78
CHB0161910121822,2.64
CHB0162001030324,2.09
CHB0162002010111,1.95
CHB0162002010207,2.2
CHB0162002201253,1.67
CHB0162003301715,2.1
CHB0162004120044,1.49
CHB0162005042207,2.74
CHB0162005060157,2.28
CHB0162006250447,3.81
CHB0162007011825,1.88
CHB0162008131135,1.34
CHB0162103280927,1.73
CHB0171901080135,1.53
CHB0171901141323,1.36
CHB0171901182146,1.97
CHB0171905251520,3.51
CHB0171906010758,3.33
CHB0171906200155,1.8
CHB0171906240911,3.36
CHB0171907250714,2.54
CHB0171908232049,1.65
CHB0171910090458,1.03
CHB0171910121822,2.54
CHB0171912140324,0.88
CHB0171912160414,1.67
CHB0172002010111,1.67
CHB0172002010207,2.48
CHB0172002201253,2.01
CHB0172004120044,1.81
CHB0172005042207,2.23
CHB0172005060157,2.62
CHB0172006160827,1.96
CHB0172006250447,2.91
CHB0172007011825,1.2
CHB0172007090605,1.31
CHB0172008042021,1.6
CHB0172008100924,1.48
CHB0172008131135,1.01
CHB0172009201948,0.77
CHB0172102061410,1.37
CHB0172103160456,1.57
CHB0172103280927,2.1
CHB0172106070311,1.41
CHB0181901291242,1.76
CHB0181905251520,2.99
CHB0181906010758,3.06
CHB0181906200155,1.68
CHB0181906240911,3.35
CHB0181907250714,3.17
CHB0181908232049,1.09
CHB0181910121822,2.86
CHB0181912160414,2.15
CHB0182001251034,1.04
CHB0182002010111,1.37
CHB0182002010207,1.65
CHB0182002201253,1.49
CHB0182003301715,1.78
CHB0182005042207,2.02
CHB0182005060157,1.96
CHB0182006160827,1.76
CHB0182007011825,1.76
CHB0182008042021,1.27
CHB0182008100924,1.25
CHB0182008131135,1.5
CHB0182009201948,1.6
CHB0182103280927,1.66
CHB0182106070311,1.44
CHB0191901080135,1.9
CHB0191906240911,3.49
CHB0191907250714,2.07
CHB0191911172005,1.96
CHB0191912140324,2.48
CHB0192002010207,2.38
CHB0192004120044,1.87
CHB0192005060157,2.29
CHB0192006250447,2.99
CHB0192103280927,2.3
CHB0192106070311,2.28
CHB0201901080135,1.5
CHB0201905251520,2.43
CHB0201906010758,2.38
CHB0201906200155,2.25
CHB0201906240911,3.36
CHB0201907250714,3.11
CHB0201910121822,3.68
CHB0201912160414,1.83
CHB0202005042207,2.16
CHB0202005060157,2.14
CHB0202006160827,1.42
CHB0202006250447,2.73
CHB0202009201948,1.71
CHB0202106070311,1.84
CHB0211901080135,1.97
CHB0211906240911,3.37
CHB0212005060157,1.7
CHB0212006160827,1.94
CHB0212008042021,1
CHB0212008100924,1.49
CHB0212009201948,1.12
CHB0212103280927,1.77
CHB0212106070311,2.37
CHB0221901080135,2.11
CHB0221901141323,1.95
CHB0221905251520,2.74
CHB0221906010758,2.65
CHB0221906200155,1.77
CHB0221906240911,3.88
CHB0221907250714,2.04
CHB0221908232049,2.32
CHB0221910121822,2.47
CHB0221912140324,1.57
CHB0222006160827,2.55
CHB0222008100924,1.62
CHB0222009201948,1.71
CHB0222010281558,2.51
CHB0222102061410,2.18
CHB0241901141323,1.65
CHB0241905251520,3.05
CHB0242001140453,1.69
CHB0242002010207,2.72
CHB0242002201253,1.12
CHB0242004120044,2.35
CHB0242004260949,2.16
CHB0242005042207,2.16
CHB0242005060157,2.9
CHB0242006250447,2.8
CHB0242007090605,1.51
CHB0242008301437,1.17
CHB0242010281558,1.5
CHB0242012171642,1.31
CHB0242012300935,2.31
CHB0242103160456,1.82
CHB0251901080135,1.39
CHB0251905251520,1.76
CHB0251906010758,1.11
CHB0251906200155,1.32
CHB0251906240911,2.8
CHB0251907250714,1.27
CHB0252005060157,1.26
CHB0252006160827,1.49
CHB0252103280927,1.38
CHB0252106070311,1.65
CHB0261905251520,3.8
CHB0261906010758,3.07
CHB0261906240911,2.5
CHB0261907250714,2.83
CHB0261908232049,1.36
CHB0261910121822,2.2
CHB0261912160414,1.8
CHB0262001030324,1.66
CHB0262001251034,1.21
CHB0262002010111,1.73
CHB0262002010207,1.96
CHB0262002201253,3.3
