FileName,real_Tva_total_1,real_Tva_total_2,real_Tva_total_3,real_Tva_total_4,real_Tva_total_5,real_Tva_total_6,real_Tva_total_7,real_Tva_total_8,real_Tva_total_9,real_Tva_total_10,real_Tva_total_11,real_Tva_total_12,real_Tva_total_13,real_Tva_total_14,real_Tva_total_15,real_Tva_total_16,real_Tva_total_17,real_Tva_total_18,real_Tva_total_19,real_Tva_total_20
MYG0152004200539,0.408394396683578,0.393271853117506,0.413035696775498,0.365792967770392,0.350202687508956,0.261260459434639,0.252589148890536,0.252589148890536,0.252589148890536,0.234919646094734,0.234919646094734,0.242075558038296,0.278459391215487,0.278459391215487,0.274971418342652,0.294117470197804,0.243474876566527,0.429960304631884,0.380055250994002,0.431293294007578
MYG0152005181200,0.145347036160221,0.202279800825517,0.202279800825517,0.202279800825517,0.202279800825517,0.261626603092556,0.261626603092556,0.261626603092556,0.261626603092556,0.261756704250579,0.28611095004097,0.28611095004097,0.29118090098963,0.29118090098963,0.29118090098963,0.29118090098963,0.29118090098963,0.29118090098963,0.29118090098963,0.29118090098963
MYG0152005191217,0.35951306688548,0.274018831391089,0.25429233048784,0.25429233048784,0.25429233048784,0.257816670332779,0.257816670332779,0.257816670332779,0.257816670332779,0.257816670332779,0.306129408261662,0.331449296525582,0.331449296525582,0.331449296525582,0.331449296525582,0.331449296525582,0.331449296525582,0.331449296525582,0.331449296525582,0.331449296525582
MYG0152006160155,0.0834143157380074,0.0708298998975823,0.0864212277566917,0.0864212277566917,0.0864212277566917,0.0864212277566917,0.0939038437488687,0.0939038437488687,0.0939038437488687,0.0983507435942506,0.0983507435942506,0.33702002194166,0.264666177503713,0.252061865659011,0.193470455677584,0.193470455677584,0.193470455677584,0.193470455677584,0.193470455677584,0.193470455677584
MYG0152007031413,0.240546279162057,0.207832984548705,0.207832984548705,0.215481693565103,0.177630008758123,0.177630008758123,0.177630008758123,0.177630008758123,0.177630008758123,0.197859442895996,0.174742239555415,0.201278647021933,0.193612390431608,0.181334689584347,0.210449827497459,0.210449827497459,0.210449827497459,0.210449827497459,0.210449827497459,0.210449827497459
MYG0152007171349,0.0630696243931041,0.0630696243931041,0.0738091110760125,0.0810069811568905,0.0822807536153965,0.0822807536153965,0.0822807536153965,0.0832005571976894,0.0902768869164476,0.0902768869164476,0.091674566715327,0.231582000580899,0.21519346882336,0.21519346882336,0.21519346882336,0.205307919768681,0.205307919768681,0.205307919768681,0.205307919768681,0.205307919768681
MYG0152009121144,0.202402913285793,0.474908871111883,0.436055175070366,0.439484313154143,0.439484313154143,0.439484313154143,0.345664654234495,0.345664654234495,0.345664654234495,0.345664654234495,0.345664654234495,0.345664654234495,0.345664654234495,0.345664654234495,0.345664654234495,0.345664654234495,0.486616264392367,0.419926371992581,0.308342981962929,0.293246153767572
MYG0152009121150,0.231399135726702,0.29138924939982,0.258961941149257,0.208440112499044,0.227196208166457,0.212588439429622,0.206552764478915,0.184932017055452,0.184932017055452,0.184932017055452,0.184932017055452,0.177175671595204,0.177175671595204,0.181712659856294,0.181712659856294,0.269661734676815,0.241732081012983,0.241732081012983,0.203788792020125,0.203788792020125
MYG0152011210720,0.147690680520988,0.137420626326603,0.139843901980882,0.139843901980882,0.139843901980882,0.140154861122752,0.140154861122752,0.140154861122752,0.140154861122752,0.140154861122752,0.140154861122752,0.140154861122752,0.260492643548578,0.239080314025937,0.239080314025937,0.239080314025937,0.239080314025937,0.239080314025937,0.239080314025937,0.239080314025937
MYG0152011221906,0.657644579439542,0.360992219789433,0.220878600202055,0.261405736011019,0.212866824798921,0.19476553471075,0.19476553471075,0.201243027154047,0.201243027154047,0.201243027154047,0.201243027154047,0.201243027154047,0.207679547553989,0.234766253934195,0.24756169515025,0.24756169515025,0.259486213792856,0.259486213792856,0.436068546160372,0.28191272652946
