FileName,real_PGD_total_1,real_PGD_total_2,real_PGD_total_3,real_PGD_total_4,real_PGD_total_5,real_PGD_total_6,real_PGD_total_7,real_PGD_total_8,real_PGD_total_9,real_PGD_total_10,real_PGD_total_11,real_PGD_total_12,real_PGD_total_13,real_PGD_total_14,real_PGD_total_15,real_PGD_total_16,real_PGD_total_17,real_PGD_total_18,real_PGD_total_19,real_PGD_total_20
MYG0152002121937,0.00454398355902611,0.00599549490531543,0.009290144247482,0.0123062471839715,0.0149615149054192,0.0176216082939858,0.0187953227001324,0.0187953227001324,0.0187953227001324,0.0187953227001324,0.0187953227001324,0.0187953227001324,0.0187953227001324,0.151929975774819,0.164837116489269,0.171332749512003,0.171332749512003,0.171332749512003,0.171332749512003,0.171332749512003
MYG0152004200539,0.0152758473236525,0.0235250011577164,0.0355229827651027,0.0355229827651027,0.0355229827651027,0.0355229827651027,0.0355229827651027,0.0355229827651027,0.0355229827651027,0.0355229827651027,0.0355229827651027,0.0355229827651027,0.0577053224141486,0.0675407389775974,0.0675407389775974,0.139785700661417,0.156211145453814,0.240832059580017,0.240832059580017,0.24765070671455
MYG0152005181200,0.0283204619873742,0.0283204619873742,0.0283204619873742,0.0283204619873742,0.0283204619873742,0.0283204619873742,0.0283204619873742,0.0283204619873742,0.0283204619873742,0.177834114671634,0.177834114671634,0.177834114671634,0.177834114671634,0.177834114671634,0.177834114671634,0.177834114671634,0.177834114671634,0.177834114671634,0.177834114671634,0.177834114671634
MYG0152005191217,0.0322554854081816,0.0383620135384097,0.0383620135384097,0.0383620135384097,0.0383620135384097,0.0439505387650459,0.0439505387650459,0.0439505387650459,0.0439505387650459,0.0439505387650459,0.20051446354155,0.363445657227165,0.363445657227165,0.363445657227165,0.363445657227165,0.363445657227165,0.363445657227165,0.363445657227165,0.363445657227165,0.363445657227165
MYG0152006160155,0.00123093276557651,0.0014691576597178,0.00153661415013177,0.00153661415013177,0.00190998977951958,0.00190998977951958,0.00190998977951958,0.00190998977951958,0.00190998977951958,0.00190998977951958,0.00190998977951958,0.0197459858845192,0.0296451358951336,0.0296451358951336,0.0296451358951336,0.0296451358951336,0.0296451358951336,0.0296451358951336,0.0296451358951336,0.0296451358951336
MYG0152007031413,0.00773514770587072,0.00948945349488429,0.00948945349488429,0.00948945349488429,0.00948945349488429,0.00948945349488429,0.00948945349488429,0.00948945349488429,0.00948945349488429,0.00948945349488429,0.010991436361541,0.0282863444855573,0.0282863444855573,0.0282863444855573,0.0300288272557003,0.0325879874289012,0.0325879874289012,0.0325879874289012,0.0325879874289012,0.0325879874289012
MYG0152007171349,0.00173788091197828,0.00181221914645472,0.00181221914645472,0.00220220598883005,0.00220220598883005,0.00220220598883005,0.00220220598883005,0.00220220598883005,0.00220220598883005,0.00220220598883005,0.00362982483078182,0.0156001506728412,0.0156001506728412,0.0156001506728412,0.0156001506728412,0.0208740478998947,0.0208740478998947,0.0208740478998947,0.0208740478998947,0.0208740478998947
MYG0152009121144,0.0068606663497751,0.0636942304670502,0.100426722390197,0.100426722390197,0.100426722390197,0.100426722390197,0.100426722390197,0.100426722390197,0.100426722390197,0.100426722390197,0.100426722390197,0.100426722390197,0.100426722390197,0.101517317984941,0.101777338462705,0.101777338462705,0.368774474936046,0.481682567167648,0.481682567167648,0.481682567167648
MYG0152009121150,0.00392500596147972,0.00461691359660638,0.00461691359660638,0.00461691359660638,0.00461691359660638,0.00461691359660638,0.00461691359660638,0.00461691359660638,0.00461691359660638,0.00511791408767853,0.00511791408767853,0.00511791408767853,0.00609975446788954,0.00632647058465085,0.00632647058465085,0.0131060620790048,0.0239380789780765,0.0239380789780765,0.0286910821956624,0.0286910821956624
MYG0152011210720,0.00167305875324383,0.00237574715832242,0.00237574715832242,0.00237574715832242,0.00237574715832242,0.00237574715832242,0.00237574715832242,0.00237574715832242,0.00237574715832242,0.00237574715832242,0.00237574715832242,0.00309152648851828,0.012404149206632,0.018477111878582,0.018477111878582,0.018477111878582,0.018477111878582,0.018477111878582,0.018477111878582,0.018477111878582
