FileName,real_caa_total_1,real_caa_total_2,real_caa_total_3,real_caa_total_4,real_caa_total_5,real_caa_total_6,real_caa_total_7,real_caa_total_8,real_caa_total_9,real_caa_total_10,real_caa_total_11,real_caa_total_12,real_caa_total_13,real_caa_total_14,real_caa_total_15,real_caa_total_16,real_caa_total_17,real_caa_total_18,real_caa_total_19,real_caa_total_20
IBR0062009070634,0.60381907081257,1.68759616238668,2.87731721428268,4.30660607588284,5.66162616462752,7.23362990914313,8.88241216582327,10.6310748396198,12.1244449991456,13.5774694405418,15.8792346681808,18.5581908207237,23.2520396121859,27.2319045476233,30.9294332342292,35.2226728305098,39.3237564879483,43.9396896860952,48.8000039519836,52.7679310165617
IBR0062009101226,4.83266011087349,7.40756412675178,12.8028185469785,20.9723963683751,43.8411987903616,52.5337588599096,58.1183043400506,63.416537320592,67.8478756583422,70.6301623331719,72.790524898385,75.4012642678981,77.4701924797976,78.8278084153875,80.3066429450706,81.7218769408153,82.7688381496488,83.9103637144966,85.0944574784527,86.1613238168106
IBR0062009121138,1.68710464671629,3.34401265404617,4.93561610608721,7.51644433410354,10.2578885576352,12.9395416687158,16.6553295750474,28.2957926944751,34.5735067458882,39.7620182402275,43.6245378364983,46.8530418784509,49.2869882786767,51.9393832951586,53.7551218701631,55.0368060657991,56.3054906733773,57.6046314205547,58.7283352820034,59.7422737323025
IBR0062009151506,0.363264716459792,1.33579693035859,2.11242175942609,2.62633030111687,3.19229494423413,3.92644789041248,4.5533403589459,5.18612082988296,5.76992310164987,6.43277437402496,7.59227773835382,9.18465520734004,10.4361334915497,11.6650751647463,12.9108643782033,14.1303413570443,15.1057801010958,15.8714201346431,16.6903177031464,17.3373349749253
IBR0062009171400,2.078657296637,4.49831106873369,7.47902696187204,10.9762363579035,15.7654335586116,20.7618047006607,28.8128825023616,41.5534550282625,50.5822843089658,55.8589880472358,61.5543153477237,65.7029595427218,70.1543078354571,74.8106587149708,78.7212186621855,82.0737260046952,85.1664297984607,87.562224747082,90.024444146824,92.2945261963174
IBR0062009200904,0.89252926916781,2.05839171345207,3.6379370308543,5.98991405499777,8.07146351285217,10.4267542389096,13.3848962226137,19.6836402193099,25.3993694767805,31.5205681114085,37.5961765720845,42.1300612862292,45.674181078731,48.7126068490466,51.2030484232863,53.5067477903084,56.0476282156151,57.8976743861412,60.0161108528338,61.6097932209352
IBR0062010051132,6.48747855499586,9.41986660781921,11.2660419751861,13.1852557824392,15.923884203737,18.1939274104966,20.6673198682891,23.956864873633,27.3063541193428,33.4684523154065,51.2350324524812,59.5107675222303,65.5932587655611,70.5782359730316,75.3763347391492,79.4678548933477,82.974799098995,86.1471882007414,88.9446491238479,91.3863664618382
IBR0062010100739,0.567781113875234,1.19235133314848,1.70321955245908,2.18554532045788,2.90171879627914,3.69473344718102,4.71088975319249,5.68996161974885,7.02152011794935,9.69599311097226,11.7054719984599,13.1779083817517,14.5285008175948,15.6251123194972,16.9596555886078,18.013805591459,19.1869529767148,20.0792973005291,20.9985858535873,21.6690808622064
IBR0062010281558,0.146815092431689,0.298687184235034,0.408153590702906,0.623412772778028,1.25346616052533,1.95429877712647,2.9818967184825,4.07934395964398,4.94461110929839,6.00634659400213,7.02565447830422,8.17475598086355,9.27406275858691,10.2809976665973,11.3716243280633,13.5259442249597,15.4305174646153,17.3128223718816,19.219509423132,21.325035425807
IBR0062011221906,12.6286614692335,31.0608064457318,41.7077401117278,53.6927914717191,67.4167041829123,82.1019490817727,92.7708980294065,105.735893402756,139.165355305413,203.924061301914,244.814072326411,280.856968713723,312.647342931636,336.196598308304,357.731576065286,377.544600702983,393.527544685179,407.678242659768,418.286760042526,430.640531184679
